Station,Date,Rain,PanE.mm,ETref
MOREE AERO,1/1/2009,0,12.2,3.204001882
MOREE AERO,2/1/2009,0,11.2,1.635725784
MOREE AERO,3/1/2009,0,6.2,3.230204664
MOREE AERO,4/1/2009,0,11.2,3.425513065
MOREE AERO,5/1/2009,0,12.6,2.213439655
MOREE AERO,6/1/2009,0,10.8,3.881682064
MOREE AERO,7/1/2009,0,10,2.327704494
MOREE AERO,8/1/2009,0,8.6,2.102051747
MOREE AERO,9/1/2009,0,12,2.59340875
MOREE AERO,10/1/2009,9.2,9.8,3.7128714
MOREE AERO,11/1/2009,3.4,8.6,4.097391482
MOREE AERO,12/1/2009,0,8,3.022976671
MOREE AERO,13/01/2009,0,10.4,3.487255684
MOREE AERO,14/01/2009,0,13.4,3.564121012
MOREE AERO,15/01/2009,0,12.2,3.147162773
MOREE AERO,16/01/2009,0,12.8,1.990704296
MOREE AERO,17/01/2009,0,16.8,2.042399601
MOREE AERO,18/01/2009,0,13.8,2.690800791
MOREE AERO,19/01/2009,0,12.2,1.88310929
MOREE AERO,20/01/2009,0,10.4,2.18858105
MOREE AERO,21/01/2009,0,8.8,1.922035542
MOREE AERO,22/01/2009,47.6,9.2,0.924998421
MOREE AERO,23/01/2009,23,1.6,3.823858469
MOREE AERO,24/01/2009,0,5.2,5.460489338
MOREE AERO,25/01/2009,0,8,4.694469376
MOREE AERO,26/01/2009,5.4,7.2,5.069498601
MOREE AERO,27/01/2009,0,8.8,4.486792399
MOREE AERO,28/01/2009,0,10.2,4.475960985
MOREE AERO,29/01/2009,0,10,4.437528273
MOREE AERO,30/01/2009,0,10,4.40029977
MOREE AERO,31/01/2009,0,10.8,4.52175014
MOREE AERO,1/2/2009,0,9.8,4.534244387
MOREE AERO,2/2/2009,0,12.6,3.686416072
MOREE AERO,3/2/2009,0,8,4.241416971
MOREE AERO,4/2/2009,0,8.4,4.7155378
MOREE AERO,5/2/2009,0,9.6,4.730347431
MOREE AERO,6/2/2009,0,10.2,4.691192639
MOREE AERO,7/2/2009,0,11.6,3.941364827
MOREE AERO,8/2/2009,0,11.2,4.622868956
