Station,Day,Month,Year,Rad,Tmin,Tmax,Hum (kPa),windspeed (m/s),Rain (mm)
'Moree',1,1,1996,21044.45,21.8,32.2,1.98,7.69,0
'Moree',2,1,1996,8096.38,23.5,26.8,2.66,4.36,0.2
'Moree',3,1,1996,9813.71,20.1,27.2,2.31,2.61,19.6
'Moree',4,1,1996,16967.58,20.6,28.4,2.13,5.15,0
'Moree',5,1,1996,18056.34,19.2,29,2.24,6.15,3.8
'Moree',6,1,1996,20108.1,18.3,28,2.17,3.86,26.2
'Moree',7,1,1996,23487.58,18.8,30.3,2.53,3.86,0
'Moree',8,1,1996,13766.38,19.5,27.2,2.29,3.86,0
'Moree',9,1,1996,5664.96,19,23.7,2.43,2.86,7.2
'Moree',10,1,1996,7400.48,20.2,26,2.38,4.4,8.4
'Moree',11,1,1996,27242.68,17.5,30.8,2.14,5.15,4
'Moree',12,1,1996,28735.6,17.4,32.5,2.07,4.36,0
'Moree',13,1,1996,28404.37,18.6,31.7,2.26,4.65,0
'Moree',14,1,1996,29519.18,20.8,32.3,2.21,4.15,0
'Moree',15,1,1996,29950.26,19.4,33.2,1.93,4.9,0
'Moree',16,1,1996,27966.71,21.7,35.6,2.32,4.15,0
'Moree',17,1,1996,23855.65,21,31,1.66,4.11,0.6
'Moree',18,1,1996,28750.32,17.7,32.2,1.76,2.81,0
'Moree',19,1,1996,28997.15,20.1,32.1,1.9,5.65,0
'Moree',20,1,1996,27394.65,21.2,33.1,1.96,7.44,0
'Moree',21,1,1996,21983.43,21.2,32.2,2.4,4.36,6.2
'Moree',22,1,1996,6696.8,21,25,2.57,3.85,4.2
'Moree',23,1,1996,5880.04,19,22,2.2,5.4,20.8
'Moree',24,1,1996,23685.16,19,29.7,2.35,4.9,24.8
'Moree',25,1,1996,26706.56,20.5,32.4,2.6,6.4,0
'Moree',26,1,1996,27345.31,18.1,32.7,2.3,4.86,2.4
'Moree',27,1,1996,27929.88,19.3,33.9,2.45,3.61,0
'Moree',28,1,1996,29342.96,17.2,34.1,1.63,2.61,0
'Moree',29,1,1996,28733.75,14.5,34.6,1.63,3.11,0
'Moree',30,1,1996,30722.46,18.9,38.1,1.74,4.9,0
'Moree',31,1,1996,26092.12,19.6,38.4,2.21,6.19,0
'Moree',1,2,1996,29820.64,23.2,32.1,1.4,5.65,0.2
'Moree',2,2,1996,27864.99,13.8,33.4,1.03,3.11,0
'Moree',3,2,1996,28291.39,14.2,33.6,1.14,4.4,0
'Moree',4,2,1996,28875.05,16.5,34.8,1.76,4.11,0
'Moree',5,2,1996,26418.6,22.8,33.8,2.24,7.44,0
'Moree',6,2,1996,27051.06,19.4,32.8,2.34,3.86,17
'Moree',7,2,1996,30595.64,22.4,36.1,2.32,3.11,0
'Moree',8,2,1996,27327.54,20.1,36.6,2.05,8.69,0
