Station,Date,ET.mm,Rain,ETref
ORANGE AIRPORT,1/01/2009,7.2,0,1.728713595
ORANGE AIRPORT,2/01/2009,6.5,0,1.932418893
ORANGE AIRPORT,3/01/2009,5.8,0,2.547285893
ORANGE AIRPORT,4/01/2009,6.6,0,3.15769123
ORANGE AIRPORT,5/01/2009,7.6,5,3.209717919
ORANGE AIRPORT,6/01/2009,7.6,0.2,1.31135151
ORANGE AIRPORT,7/01/2009,5.3,0,1.499864155
ORANGE AIRPORT,8/01/2009,7.5,3,2.441158213
ORANGE AIRPORT,9/01/2009,4.9,0,2.181076895
ORANGE AIRPORT,10/01/2009,4.5,0,1.710967105
ORANGE AIRPORT,11/01/2009,5.6,4,2.781876331
ORANGE AIRPORT,12/01/2009,6.5,10,3.487374277
ORANGE AIRPORT,13/01/2009,7.2,0,3.609495114
ORANGE AIRPORT,14/01/2009,7.8,0,3.103203985
ORANGE AIRPORT,15/01/2009,8.5,0,3.074457616
ORANGE AIRPORT,16/01/2009,8.6,2,0.978203181
ORANGE AIRPORT,17/01/2009,5.8,0,2.762794078
ORANGE AIRPORT,18/01/2009,6.3,0,2.812660515
ORANGE AIRPORT,19/01/2009,6.9,0,3.003129737
ORANGE AIRPORT,20/01/2009,7.7,0,4.219190731
ORANGE AIRPORT,21/01/2009,6.1,21,3.173620084
ORANGE AIRPORT,22/01/2009,3.9,2,2.405493207
ORANGE AIRPORT,23/01/2009,5.9,0.4,3.678331506
ORANGE AIRPORT,24/01/2009,7.8,0,3.740545595
ORANGE AIRPORT,25/01/2009,7.2,0,4.033776814
ORANGE AIRPORT,26/01/2009,7.5,0,4.541387348
ORANGE AIRPORT,27/01/2009,6.7,0,4.368898586
ORANGE AIRPORT,28/01/2009,7.4,0,4.907711442
ORANGE AIRPORT,29/01/2009,8.2,0,3.203942173
ORANGE AIRPORT,30/01/2009,7.5,0,4.679538028
ORANGE AIRPORT,31/01/2009,7.8,0,4.592583945
ORANGE AIRPORT,1/02/2009,8,0,3.924893777
ORANGE AIRPORT,2/02/2009,7.4,0,4.322584669
ORANGE AIRPORT,3/02/2009,7.1,3,4.022537689
ORANGE AIRPORT,4/02/2009,6.4,0,4.14664335
ORANGE AIRPORT,5/02/2009,7.5,0,5.046541012
ORANGE AIRPORT,6/02/2009,8.4,0,4.056475606
ORANGE AIRPORT,7/02/2009,8.8,0,3.702524496
ORANGE AIRPORT,8/02/2009,8.3,0,3.660555127
