Station Number,Date,SolarRad,Rainfall,MaxT,MinT,Temp,RH0900,Sunshinehrs,Wind0900,#
63254,1/01/1991,     ,2.4,26.5,17.1,21.5,71,2.7,7.6,#
63254,2/01/1991,28.2,2,29.5,16.5,22,94,13,13,#
63254,3/01/1991,31.8,0,32.5,15.5,23,69,13.1,5.4,#
63254,4/01/1991,31.2,0,30.5,16.5,23,73,13.5,14.8,#
63254,5/01/1991,17.4,0,22,15.5,22,73,10.7,13,#
63254,6/01/1991,7.6,3.6,14.7,6.2,7.4,91,5.4,13,#
63254,7/01/1991,31.9,0.8,23.3,5,14,63,12.6,9.4,#
63254,8/01/1991,29.6,0,27.5,9.3,19.5,58,11.6,9.4,#
63254,9/01/1991,23.6,0,28,11.7,18.5,70,9.7,9.4,#
63254,10/01/1991,26.8,0,29.7,13,21.2,52,11,24.1,#
63254,11/01/1991,26,0,31,15.2,23,47,10.7,11.2,#
63254,12/01/1991,28.4,0.8,31.8,15,25.2,33,11.5,14.8,#
63254,13/01/1991,28.4,0.4,33.2,15.3,22,57,12.4,7.6,#
63254,14/01/1991,25.5,0,33.6,19.1,25,44,9.2,22.3,#
63254,15/01/1991,23.4,0,32.7,19.5,26,37,7.9,18.4,#
63254,16/01/1991,22.7,4.6,26.1,14.3,19,83,11.1,5.4,#
63254,17/01/1991,11.8,0,21.5,13.2,16.6,79,0.9,5.4,#
63254,18/01/1991,27.3,0,28.6,13.5,16.8,84,9.3,11.2,#
63254,19/01/1991,23.3,0,28.8,15.5,19.6,61,10.1,9.4,#
63254,20/01/1991,23.5,6.6,29.9,13.7,17.1,98,8.6,1.8,#
63254,21/01/1991,14.8,0,27.6,12.9,21.5,55,5.4,0,#
63254,22/01/1991,27.7,0,30.6,12.6,20,83,9.5,11.2,#
63254,23/01/1991,8.3,10.6,23.6,15.6,17.6,90,1.3,3.6,#
63254,24/01/1991,7.8,6.6,25.6,16.2,18.6,96,2.4,9.4,#
63254,25/01/1991,26.1,0.6,29.5,16.2,19.2,99,9.2,14.8,#
63254,26/01/1991,8.8,0,26.6,17,20.6,91,1.8,9.4,#
63254,27/01/1991,32,0,25.1,11.2,18.5,97,12,7.6,#
63254,28/01/1991,21.2,0,23.5,10.3,18.8,95,7.9,1.8,#
63254,29/01/1991,32.4,0,20.6,12.5,15,51,11.9,14.8,#
63254,30/01/1991,31.8,0,26.6,6.9,15.6,46,12.6,9.4,#
63254,31/01/1991,31.2,0,29.5,11,23,27,12.4,11.2,#
63254,1/02/1991,31,0,28.5,12.6,19.9,28,12.6,1.8,#
63254,2/02/1991,30.3,0,30,9.9,13.4,85,11,3.6,#
63254,3/02/1991,30.6,0,31.2,11.8,20.5,39,11.9,3.6,#
63254,4/02/1991,30.2,0,33.9,16.6,25.6,43,11.9,13,#
63254,5/02/1991,29.5,0,33.6,21.4,25.1,41,11.5,16.6,#
63254,6/02/1991,     ,0,27.5,19.4,23.7,55,2.5,9.4,#
63254,7/02/1991,26.7,0.6,29.4,15.2,20.6,75,11.5,3.6,#
63254,8/02/1991,21.5,0,32.4,14.1,23.2,60,12.1,5.4,#
63254,9/02/1991,29.1,0,32.6,16.8,20.7,79,12.1,7.6,#
63254,10/02/1991,25.7,0,33,16.7,21.3,63,12,3.6,#
63254,11/02/1991,28.4,0,30.7,16.8,19.3,76,11.6,13,#
63254,12/02/1991,27.9,0,31,15.6,18.6,75,11.6,11.2,#
63254,13/02/1991,     ,0,32.4,15.2,24,57,11.8,16.6,#
63254,14/02/1991,23.3,0,33.3,21.2,25.6,55,10,16.6,#
63254,15/02/1991,27.3,0,32.8,19.2,25.3,53,10.3,18.4,#
63254,16/02/1991,27.9,0,25.3,14.9,17.5,61,10.4,14.8,#
63254,17/02/1991,27.8,0,27.1,10.7,14.2,71,11.6,9.4,#
63254,18/02/1991,     ,0,28.2,10.5,17.1,59,12.1,11.2,#
63254,19/02/1991,     ,0,30.5,12,21.5,58,12.1,14.8,#
63254,20/02/1991,     ,0,30.8,14.5,20,60,11,9.4,#
63254,21/02/1991,     ,0,26.7,16.2,18,73,5.8,9.4,#
63254,22/02/1991,     ,2.2,29,15.6,17.1,93,8.1,0,#
63254,23/02/1991,20.3,0,28.8,15.2,18.9,69,6.8,9.4,#
63254,24/02/1991,26.2,4.2,28,13.7,18,77,11.8,1.8,#
63254,25/02/1991,27,0,30,13.8,19.3,55,11.4,5.4,#
63254,26/02/1991,26.9,0,31.5,16.3,25.6,33,11.8,13,#
63254,27/02/1991,21.8,0,29.8,15.2,20,68,9.2,7.6,#
63254,28/02/1991,19.1,0,25.8,12.3,14.7,73,4.6,9.4,#
